source,fund,as_of_date,name,ticker,identifier,weight_pct,shares,market_value
kraneshares,KMLM,2026-04-02,,,,,104774494,104774494
kraneshares,KMLM,2026-04-02,,,,,40000000,39883336
kraneshares,KMLM,2026-04-02,,,,,40000000,39854667
kraneshares,KMLM,2026-04-02,,,,,35000000,34971792
kraneshares,KMLM,2026-04-02,,,,,35000000,34915572
kraneshares,KMLM,2026-04-02,,,,,35000000,34816402
kraneshares,KMLM,2026-04-02,,,,,371278775,2325143
kraneshares,KMLM,2026-04-02,,,,,625,0
kraneshares,KMLM,2026-04-02,,,,,-151,0
kraneshares,KMLM,2026-04-02,,,,,207,0
kraneshares,KMLM,2026-04-02,,,,,-897,0
kraneshares,KMLM,2026-04-02,,,,,329,0
kraneshares,KMLM,2026-04-02,,,,,123,0
kraneshares,KMLM,2026-04-02,,,,,-640,0
kraneshares,KMLM,2026-04-02,,,,,-443,0
kraneshares,KMLM,2026-04-02,,,,,198,0
kraneshares,KMLM,2026-04-02,,,,,-580,0
kraneshares,KMLM,2026-04-02,,,,,-88,0
kraneshares,KMLM,2026-04-02,,,,,41,0
kraneshares,KMLM,2026-04-02,,,,,150,0
kraneshares,KMLM,2026-04-02,,,,,-450,0
kraneshares,KMLM,2026-04-02,,,,,-317,0
kraneshares,KMLM,2026-04-02,,,,,280,0
kraneshares,KMLM,2026-04-02,,,,,136,0
kraneshares,KMLM,2026-04-02,,,,,-14,0
kraneshares,KMLM,2026-04-02,,,,,-755,0
kraneshares,KMLM,2026-04-02,,,,,30,0
kraneshares,KMLM,2026-04-02,,,,,-185,0
kraneshares,KMLM,2026-04-02,,,,,667,0
kraneshares,KMLM,2026-04-02,,,,,-355770,-410365
kraneshares,KMLM,2026-04-02,,,,,-3903147,-2803884
kraneshares,KMLM,2026-04-02,,,,,-2341234,-3096051
